page_num, license_id, hospital_info
1,03516/SYT-GPHĐ,"['2', 'Phòng khám chuyên khoa Răng Hàm Mặt thuộc Công ty TNHH Chăm sóc sức khỏe E.X.M', 'Lô MD6, Khu A Khu đô thị mới Nam thành phố, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TP Hồ Chí Minh']"
1,02321/SYT-GPHĐ,"['10', '', '601/4A Cách Mạng Tháng 8, Phường 15, Quận 10, TP.Hồ Chí Minh']"
1,01276/SYT-GPHĐ,"['9', 'Phòng khám Nội tổng hợp', '46 Nguyễn Thị Tú, KP1, Phường Bình Hưng Hòa B , Quận Bình Tân, TP Hồ Chí Minh']"
1,02780/SYT-GPHĐ,"['8', 'Phòng khám chuyên khoa Tai Mũi Họng', '182/2A Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP Hồ Chí Minh']"
1,00888/SYT-GPHĐ,"['7', 'Phòng khám chuyên khoa Răng Hàm Mặt', '322C Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, TP Hồ Chí Minh']"
1,03025/SYT-GPHĐ,"['6', 'Phòng khám chuyên khoa Tai mũi họng', '019 Lô C2 Chung cư P6 - Tân Vĩnh, Phường 6, Quận 4, TP Hồ Chí Minh']"
1,00289/SYT-GPHĐ,"['5', 'Phòng khám chuyên khoa Sản Phụ khoa', '51 Đường 284 Cao Lỗ, Phường 4, Quận 8, TP Hồ Chí Minh']"
1,01696/SYT-GPHĐ,"['4', 'Phòng khám chuyên khoa Tai Mũi Họng', '51 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, TP Hồ Chí Minh']"
1,00002/SYT-GPHĐ,"['3', 'Công ty TNHH American Eye Center', 'Phòng 509 & 510, Tòa nhà Crescent Plaza, lô CR4-1, số 105 Tôn Dật Tiên (Đô thị Phú Mỹ Hưng), P.Tân Phú, Quận 7, TP.Hồ Chí Minh']"
1,04211/SYT-GPHĐ,"['1', 'Phòng khám đa khoa thuộc Công ty Cổ phần Euro Stemcell', 'SI-09 Khu phố Garden Court 2, Phường Tân Phong, Quận 7, TP Hồ Chí Minh']"
2,00223/HCM-GPHĐ,"['1', 'Hộ kinh doanh Hoàng Hải', '30 Lý Chính Thắng, Phường 8, Quận 3, TP Hồ Chí Minh']"
2,04002/SYT-GPHĐ,"['9', 'Phòng khám chuyên khoa Răng Hàm Mặt', '511 Lê Đức Thọ, Phường 16, Quận Gò Vấp, TP Hồ Chí Minh']"
2,03372/HCM-GPHĐ,"['8', 'Hộ Kinh Doanh Thống Nhất', '253 Thống Nhất, Phường 11, Quận Gò Vấp, TP Hồ Chí Minh']"
2,01087/SYT-GPHĐ,"['7', 'Phòng khám chuyên khoa Mắt', '121 Trường Chinh, Phường 12, Quận Tân Bình, TP Hồ Chí Minh']"
2,04776/SYT-GPHĐ,"['6', 'Phòng khám chuyên khoa Da liễu', '229 Nhật Tảo, Phường 8, Quận 10, TP Hồ Chí Minh']"
2,04604/SYT-GPHĐ,"['5', 'Phòng khám Nội tổng hợp', '39 Sư Vạn Hạnh, Phường 3, Quận 10, TP Hồ Chí Minh']"
2,00057/HCM-GPHĐ,"['4', 'Phòng khám chuyên khoa Phẫu thuật thẩm mỹ (Thuộc Công ty TNHH Thương mại dịch vụ Ong Mặt Trời)', '68/282A Trần Quang Khải, Phường Tân Định, Quận 1, TP Hồ Chí Minh']"
2,02868/SYT-GPHĐ,"['3', 'Phòng khám chuyên khoa Phẫu thuật thẩm mỹ', '249 Trần Quang Khải, Phường Tân Định, Quận 1, TP Hồ Chí Minh']"
2,01357/SYT-GPHĐ,"['2', 'Bệnh viện Nhân dân 115', '527 Sư Vạn Hạnh, Phường 12, Quận 10, TP Hồ Chí Minh']"
2,01836/SYT-GPHĐ,"['10', 'Phòng khám Nội tổng hợp', '30/2 Huỳnh Tấn Phát, KP5, T.T.Nhà Bè , Huyện Nhà Bè, TP Hồ Chí Minh']"
3,01402/SYT-GPHĐ,"['7', 'Phòng khám chuyên khoa Nội thần kinh', '21U Cư xá Phú Lâm D, Phường 10, Quận 6, TP Hồ Chí Minh']"
3,03169/SYT-GPHĐ,"['9', 'Phòng chẩn trị y học cổ truyền', '2/6F Nguyễn Thị Sóc, Ấp Hưng Lân, Xã Bà Điểm , Huyện Hóc Môn, TP Hồ Chí Minh']"
3,02390/SYT-GPHĐ,"['8', 'Phòng khám chuyên khoa Mắt', '78 Dương Đình Nghệ, Phường 8, Quận 11, TP Hồ Chí Minh']"
3,00750/SYT-GPHĐ,"['6', 'Phòng khám chuyên khoa Răng Hàm Mặt', '631 Lạc Long Quân, Phường 10, Quận Tân Bình, TP Hồ Chí Minh']"
3,00077/SYT-GPHĐ,"['10', 'Phòng khám chuyên khoa Nhi', '3093 Phạm Thế Hiển, Phường 7, Quận 8, TP Hồ Chí Minh']"
